Genetic-Algorithm-for-Max-Sum-Result

init done
1000 1519633
2000 1533622
3000 1513772
4000 1533633
5000 1524098
6000 1508046
7000 1528106
8000 1532363
9000 1557448
10000 1515621
11000 1504276
12000 1512249
13000 1534732
14000 1511751
15000 1514976
16000 1519693
17000 1539393
18000 1528160
19000 1546162
20000 1505666
21000 1514652
22000 1532374
23000 1540727
24000 1525674
25000 1523941
26000 1547082
27000 1534808
28000 1522201
29000 1541143
30000 1522575
31000 1538538
32000 1536629
33000 1533330
34000 1532223
35000 1529878
36000 1530559
37000 1519511
38000 1523990
39000 1532165
40000 1548453
41000 1541202
42000 1524286
43000 1532079
44000 1528410
45000 1539786
46000 1507710
47000 1536718
48000 1523008
49000 1509646
50000 1525762
51000 1529101
52000 1539645
53000 1524841
54000 1508488
55000 1522563
56000 1515461
57000 1533947
58000 1524602
59000 1510297
60000 1526382
61000 1512352
62000 1513647
63000 1527706
64000 1526504
65000 1528943
66000 1524608
67000 1512072
68000 1521099
69000 1519586
70000 1522888
71000 1533756
72000 1543804
73000 1516055
74000 1534174
75000 1513481
76000 1521888
77000 1535631
78000 1526978
79000 1515201
80000 1536064
81000 1526997
82000 1529576
83000 1529414
84000 1538785
85000 1540387
86000 1524044
87000 1522733
88000 1539219
89000 1518338
90000 1531663
91000 1526903
92000 1526414
93000 1536622
94000 1510002
95000 1510035
96000 1510656
97000 1553507
98000 1511223
99000 1525849
100000 1515379
101000 1517097
102000 1528601
103000 1524805
104000 1517874
105000 1524294
106000 1534760
107000 1548322
108000 1517242
109000 1510621
110000 1520934
111000 1533058
112000 1533009
113000 1538523
114000 1527782
115000 1523533
116000 1523026
117000 1533392
118000 1506912
119000 1524495
120000 1543861
121000 1513610
122000 1541656
123000 1530882
124000 1520148
125000 1514618
126000 1520862
127000 1539659
128000 1500891
129000 1528229
130000 1489846
131000 1532673
132000 1527329
133000 1521838
134000 1501966
135000 1504528
136000 1534610
137000 1542322
138000 1548000
139000 1527308
140000 1513652
141000 1492920
142000 1539879
143000 1545435
144000 1506487
145000 1538723
146000 1531955
147000 1517487
148000 1516323
149000 1538791
150000 1519147
151000 1524729
152000 1524738
153000 1534882
154000 1509895
155000 1521957
156000 1543402
157000 1510818
158000 1519793
159000 1543658
160000 1541174
161000 1532304
162000 1511672
163000 1521667
164000 1499952
165000 1537166
166000 1524460
167000 1539898
168000 1519006
169000 1529629
170000 1531591
171000 1512793
172000 1520449
173000 1532216
174000 1517449
175000 1518180
176000 1499837
177000 1508747
178000 1529021
179000 1531960
180000 1524370
181000 1518947
182000 1508709
183000 1534713
184000 1526072
185000 1523865
186000 1521622
187000 1511256
188000 1525952
189000 1537609
190000 1531597
191000 1503842
192000 1521074
193000 1526189
194000 1535305
195000 1539201
196000 1525317
197000 1502084
198000 1528860
199000 1511365
200000 1530870
201000 1518814
202000 1529092
203000 1521481
204000 1537218
205000 1515396
206000 1543066
207000 1505617
208000 1526766
209000 1522645
210000 1535311
211000 1542278
212000 1535395
213000 1502192
214000 1511024
215000 1496754
216000 1499574
217000 1507025
218000 1515121
219000 1496138
220000 1517834
221000 1529815
222000 1540802
223000 1524170
224000 1525157
225000 1514843
226000 1508975
227000 1545004
228000 1522122
229000 1541403
230000 1514614
231000 1543811
232000 1491740
233000 1517202
234000 1534432
235000 1536652
236000 1519688
237000 1541523
238000 1539091
239000 1523926
240000 1535892
241000 1531582
242000 1527359
243000 1544888
244000 1525072
245000 1524477
246000 1527343
247000 1526818
248000 1533859
249000 1533129
250000 1517704
251000 1520152
252000 1520333
253000 1526178
254000 1534528
255000 1530628
256000 1516905
257000 1538440
258000 1507732
259000 1527927
260000 1533438
261000 1521157
262000 1524812
263000 1521316
264000 1524472
265000 1518073
266000 1525420
267000 1535738
268000 1529655
269000 1525837
270000 1527417
271000 1516142
272000 1516716
273000 1506291
274000 1504176
275000 1511160
276000 1522464
277000 1533095
278000 1530464
279000 1518005
280000 1536448
281000 1544012
282000 1539981
283000 1517171
284000 1520984
285000 1540069
286000 1524603
287000 1507692
288000 1512553
289000 1522931
290000 1526240
291000 1531920
292000 1550244
293000 1509324
294000 1534424
295000 1497987
296000 1530272
297000 1518369
298000 1499449
299000 1522799
300000 1521716
301000 1526000
302000 1538162
303000 1541078
304000 1536371
305000 1523005
306000 1513988
307000 1527142
308000 1539175
309000 1523989
310000 1528896
311000 1538294
312000 1537726
313000 1516224
314000 1509447
315000 1527148
316000 1538936
317000 1530687
318000 1547240
319000 1541135
320000 1529068
321000 1525083
322000 1532495
323000 1540331
324000 1550870
325000 1511736
326000 1530825
327000 1526554
328000 1506444
329000 1525191
330000 1514759
331000 1514686
332000 1528511
333000 1544466
334000 1520962
335000 1538545
336000 1532245
337000 1517244
338000 1525876
339000 1519647
340000 1540692
341000 1534251
342000 1528769
343000 1513471
344000 1519393
345000 1528118
346000 1526908
347000 1516733
348000 1520117
349000 1464817
350000 1536397
351000 1517200
352000 1514586
353000 1517285
354000 1505959
355000 1529071
356000 1522839
357000 1527405
358000 1527328
359000 1521696
360000 1532124
361000 1529849
362000 1530965
363000 1512587
364000 1511587
365000 1535251
366000 1508363
367000 1506338
368000 1530001
369000 1516671
370000 1523434
371000 1532454
372000 1540788
373000 1502629
374000 1529493
375000 1534446
376000 1536229
377000 1532395
378000 1507039
379000 1526188
380000 1507130
381000 1532693
382000 1534514
383000 1507232
384000 1500960
385000 1515729
386000 1532365
387000 1528156
388000 1523068
389000 1523572
390000 1524429
391000 1525760
392000 1530887
393000 1532789
394000 1536642
395000 1521638
396000 1537050
